 # Energías del fragmento de grafeno (pino)
 # Estado  Energía
   1     -3.586617
   2     -2.819141
   3     -2.463079
   4     -1.728713
   5     -1.603857
   6     -1.544009
   7     -1.000000
   8     -0.806363
   9     -0.774614
  10     -0.465000
  11     -0.410740
  12      0.000000
  13      0.222288
  14      0.321059
  15      0.508347
  16      0.765095
  17      0.814479
  18      1.262933
  19      1.507914
  20      1.690708
  21      2.004420
  22      2.380435
  23      2.654734
  24      3.069720
