time_s,aircraft_x,aircraft_y,aircraft_z,missile_x,missile_y,missile_z,distance
0.000,20000.000,0.000,7000.000,0.000,-5000.000,2000.000,21213.203
0.050,20012.500,0.000,7000.000,17.530,-4995.614,2004.381,21206.395
0.100,20025.000,0.002,7000.000,35.224,-4991.179,2008.801,21199.413
0.150,20037.500,0.006,7000.001,53.082,-4986.696,2013.259,21192.257
0.200,20050.000,0.014,7000.002,71.103,-4982.164,2017.755,21184.928
0.250,20062.500,0.027,7000.003,89.289,-4977.584,2022.288,21177.427
0.300,20074.999,0.046,7000.006,107.637,-4972.955,2026.860,21169.753
0.350,20087.499,0.074,7000.009,126.150,-4968.276,2031.470,21161.907
0.400,20099.998,0.110,7000.014,144.826,-4963.549,2036.117,21153.889
0.450,20112.496,0.156,7000.019,163.666,-4958.772,2040.802,21145.700
0.500,20124.994,0.213,7000.027,182.670,-4953.946,2045.524,21137.339
0.550,20137.492,0.282,7000.035,201.837,-4949.070,2050.284,21128.806
0.600,20149.988,0.365,7000.046,221.168,-4944.144,2055.081,21120.103
0.650,20162.484,0.463,7000.058,240.662,-4939.168,2059.915,21111.228
0.700,20174.979,0.576,7000.072,260.319,-4934.142,2064.786,21102.183
0.750,20187.472,0.706,7000.089,280.141,-4929.065,2069.694,21092.967
0.800,20199.964,0.854,7000.107,300.125,-4923.938,2074.639,21083.581
0.850,20212.454,1.021,7000.128,320.273,-4918.759,2079.620,21074.024
0.900,20224.942,1.208,7000.152,340.584,-4913.529,2084.637,21064.297
0.950,20237.429,1.415,7000.178,361.059,-4908.248,2089.691,21054.400
1.000,20249.913,1.645,7000.207,381.696,-4902.915,2094.781,21044.333
1.050,20262.395,1.897,7000.238,402.497,-4897.529,2099.907,21034.095
1.100,20274.874,2.173,7000.273,423.460,-4892.091,2105.068,21023.689
1.150,20287.350,2.473,7000.311,444.580,-4886.601,2110.264,21013.118
1.200,20299.823,2.799,7000.352,465.853,-4881.062,2115.493,21002.389
1.250,20312.293,3.151,7000.397,487.272,-4875.474,2120.754,20991.506
1.300,20324.759,3.531,7000.445,508.834,-4869.839,2126.045,20980.476
1.350,20337.221,3.938,7000.496,530.533,-4864.157,2131.366,20969.303
1.400,20349.679,4.374,7000.552,552.365,-4858.430,2136.715,20957.992
1.450,20362.133,4.839,7000.611,574.324,-4852.659,2142.091,20946.548
1.500,20374.583,5.335,7000.674,596.408,-4846.845,2147.493,20934.976
1.550,20387.027,5.861,7000.741,618.611,-4840.989,2152.920,20923.279
1.600,20399.466,6.419,7000.812,640.929,-4835.092,2158.372,20911.462
1.650,20411.900,7.009,7000.887,663.359,-4829.155,2163.846,20899.530
1.700,20424.329,7.632,7000.967,685.896,-4823.179,2169.343,20887.485
1.750,20436.751,8.288,7001.051,708.538,-4817.164,2174.862,20875.332
1.800,20449.168,8.979,7001.139,731.280,-4811.112,2180.400,20863.075
1.850,20461.578,9.704,7001.233,754.119,-4805.023,2185.959,20850.717
1.900,20473.981,10.464,7001.330,777.051,-4798.899,2191.536,20838.261
1.950,20486.377,11.259,7001.433,800.074,-4792.739,2197.132,20825.711
2.000,20498.767,12.091,7001.540,823.184,-4786.544,2202.745,20813.070
2.050,20511.148,12.959,7001.652,846.378,-4780.315,2208.375,20800.341
2.100,20523.523,13.864,7001.769,869.654,-4774.054,2214.021,20787.526
2.150,20535.889,14.806,7001.891,893.008,-4767.759,2219.682,20774.629
2.200,20548.247,15.786,7002.019,916.438,-4761.433,2225.359,20761.653
2.250,20560.597,16.805,7002.151,939.941,-4755.075,2231.049,20748.600
2.300,20572.938,17.861,7002.289,963.515,-4748.686,2236.753,20735.472
2.350,20585.271,18.957,7002.432,987.156,-4742.266,2242.470,20722.273
2.400,20597.594,20.092,7002.580,1010.864,-4735.817,2248.200,20709.003
2.450,20609.908,21.266,7002.734,1034.634,-4729.338,2253.942,20695.667
2.500,20622.213,22.479,7002.894,1058.466,-4722.830,2259.695,20682.265
2.550,20634.508,23.733,7003.059,1082.357,-4716.294,2265.459,20668.801
2.600,20646.794,25.026,7003.229,1106.304,-4709.729,2271.234,20655.275
2.650,20659.069,26.360,7003.406,1130.307,-4703.136,2277.019,20641.691
2.700,20671.334,27.734,7003.588,1154.362,-4696.516,2282.814,20628.050
2.750,20683.588,29.149,7003.776,1178.468,-4689.868,2288.618,20614.353
2.800,20695.833,30.605,7003.969,1202.624,-4683.194,2294.431,20600.603
2.850,20708.066,32.101,7004.169,1226.826,-4676.494,2300.253,20586.801
2.900,20720.288,33.639,7004.375,1251.075,-4669.767,2306.083,20572.950
2.950,20732.500,35.217,7004.586,1275.367,-4663.014,2311.921,20559.049
3.000,20744.700,36.837,7004.804,1299.701,-4656.236,2317.766,20545.102
3.050,20756.889,38.498,7005.028,1324.077,-4649.432,2323.618,20531.110
3.100,20769.066,40.200,7005.258,1348.491,-4642.604,2329.478,20517.074
3.150,20781.232,41.943,7005.494,1372.944,-4635.750,2335.344,20502.995
3.200,20793.387,43.728,7005.737,1397.432,-4628.872,2341.216,20488.874
3.250,20805.529,45.554,7005.985,1421.956,-4621.969,2347.095,20474.715
3.300,20817.660,47.421,7006.240,1446.514,-4615.043,2352.979,20460.516
3.350,20829.778,49.329,7006.502,1471.103,-4608.092,2358.868,20446.280
3.400,20841.885,51.278,7006.770,1495.724,-4601.117,2364.763,20432.008
3.450,20853.980,53.268,7007.044,1520.375,-4594.119,2370.663,20417.700
3.500,20866.062,55.299,7007.325,1545.055,-4587.097,2376.568,20403.359
3.550,20878.132,57.370,7007.612,1569.762,-4580.052,2382.478,20388.985
3.600,20890.190,59.483,7007.906,1594.495,-4572.985,2388.391,20374.580
3.650,20902.236,61.635,7008.206,1619.254,-4565.897,2394.307,20360.145
3.700,20914.269,63.829,7008.513,1644.036,-4558.787,2400.225,20345.682
3.750,20926.290,66.062,7008.827,1668.840,-4551.659,2406.145,20331.193
3.800,20938.299,68.335,7009.147,1693.664,-4544.511,2412.065,20316.679
3.850,20950.295,70.648,7009.475,1718.509,-4537.346,2417.985,20302.142
3.900,20962.279,73.001,7009.808,1743.371,-4530.163,2423.904,20287.584
3.950,20974.250,75.393,7010.149,1768.251,-4522.964,2429.821,20273.005
4.000,20986.209,77.824,7010.497,1793.146,-4515.750,2435.736,20258.407
4.050,20998.156,80.294,7010.851,1818.056,-4508.522,2441.647,20243.792
4.100,21010.091,82.803,7011.212,1842.979,-4501.279,2447.555,20229.161
4.150,21022.013,85.350,7011.580,1867.914,-4494.024,2453.458,20214.516
4.200,21033.924,87.935,7011.956,1892.861,-4486.756,2459.356,20199.858
4.250,21045.822,90.558,7012.338,1917.818,-4479.476,2465.248,20185.187
4.300,21057.708,93.219,7012.727,1942.783,-4472.186,2471.134,20170.506
4.350,21069.582,95.916,7013.123,1967.757,-4464.885,2477.012,20155.816
4.400,21081.444,98.651,7013.526,1992.738,-4457.574,2482.884,20141.117
4.450,21093.295,101.422,7013.936,2017.725,-4450.255,2488.747,20126.412
4.500,21105.133,104.229,7014.354,2042.718,-4442.927,2494.601,20111.700
4.550,21116.961,107.072,7014.778,2067.707,-4435.604,2500.447,20096.994
4.600,21128.776,109.950,7015.210,2092.677,-4428.316,2506.284,20082.314
4.650,21140.581,112.864,7015.648,2117.632,-4421.068,2512.109,20067.660
4.700,21152.374,115.812,7016.095,2142.573,-4413.862,2517.918,20053.031
4.750,21164.156,118.794,7016.548,2167.502,-4406.701,2523.708,20038.428
4.800,21175.927,121.810,7017.008,2192.419,-4399.586,2529.471,20023.850
4.850,21187.687,124.859,7017.476,2217.327,-4392.515,2535.204,20009.298
4.900,21199.437,127.942,7017.951,2242.224,-4385.486,2540.901,19994.773
4.950,21211.176,131.057,7018.434,2267.111,-4378.496,2546.557,19980.274
5.000,21222.905,134.204,7018.924,2291.989,-4371.539,2552.169,19965.801
5.050,21234.624,137.383,7019.421,2316.855,-4364.611,2557.735,19951.355
5.100,21246.333,140.593,7019.926,2341.710,-4357.705,2563.254,19936.934
5.150,21258.032,143.833,7020.438,2366.554,-4350.815,2568.727,19922.539
5.200,21269.721,147.104,7020.958,2391.384,-4343.935,2574.156,19908.166
5.250,21281.402,150.404,7021.485,2416.202,-4337.061,2579.544,19893.816
5.300,21293.073,153.733,7022.019,2441.006,-4330.187,2584.897,19879.487
5.350,21304.735,157.092,7022.562,2465.798,-4323.312,2590.218,19865.177
5.400,21316.388,160.478,7023.111,2490.576,-4316.433,2595.513,19850.883
5.450,21328.033,163.891,7023.669,2515.342,-4309.550,2600.789,19836.605
