# tiempo_min   distancia_km   v_km_per_min   v_m_per_s
   0.00000000E+00   0.00000000E+00   7.22986429E-01   1.20497738E+01
   2.50000000E-01   1.70000002E-01   6.37013587E-01   1.06168931E+01
   5.09999990E-01   3.24000001E-01   5.88072342E-01   9.80120570E+00
   7.59999990E-01   4.69999969E-01   5.44000030E-01   9.06666717E+00
   1.00999999E+00   5.96000016E-01   4.40000058E-01   7.33333430E+00
   1.25999999E+00   6.89999998E-01   3.04808416E-01   5.08014027E+00
   1.51999998E+00   7.50000000E-01   1.94690851E-01   3.24484752E+00
   1.76999998E+00   7.90000021E-01   1.31999970E-01   2.19999950E+00
   2.01999998E+00   8.15999985E-01   8.00000440E-02   1.33333407E+00
   2.26999998E+00   8.30000043E-01   3.98612100E-02   6.64353500E-01
   2.52999997E+00   8.35999966E-01   1.94689516E-02   3.24482526E-01
   2.77999997E+00   8.39999974E-01   6.80000780E-02   1.13333463E+00
   3.02999997E+00   8.70000005E-01   2.07999944E-01   3.46666573E+00
   3.27999997E+00   9.43999946E-01   3.62063320E-01   6.03438867E+00
   3.53999996E+00   1.05599999E+00   3.62063461E-01   6.03439102E+00
   3.78999996E+00   1.13000000E+00   2.27999940E-01   3.79999900E+00
   4.03999996E+00   1.16999996E+00   1.19999880E-01   1.99999800E+00
   4.28999996E+00   1.18999994E+00   6.71795419E-02   1.11965903E+00
   4.55000019E+00   1.20400000E+00   3.86306323E-02   6.43843872E-01
   4.80000019E+00   1.21000004E+00   2.39999200E-02   3.99998667E-01
   5.05000019E+00   1.21599996E+00   1.19999880E-01   1.99999800E+00
   5.30000019E+00   1.26999998E+00   2.87342818E-01   4.78904696E+00
   5.55999994E+00   1.36400008E+00   4.46401464E-01   7.44002441E+00
   5.80999994E+00   1.49600005E+00   5.31999600E-01   8.86666000E+00
   6.05999994E+00   1.62999988E+00   4.67999700E-01   7.79999500E+00
   6.30999994E+00   1.72999990E+00   3.28355883E-01   5.47259805E+00
   6.57000017E+00   1.79599988E+00   1.93767630E-01   3.22946050E+00
   6.82000017E+00   1.82999992E+00   1.08000280E-01   1.80000467E+00
   7.07000017E+00   1.85000002E+00   6.80000800E-02   1.13333467E+00
   7.32000017E+00   1.86399996E+00   3.98614191E-02   6.64356985E-01
   7.57999992E+00   1.87000012E+00   2.35476809E-02   3.92461348E-01
   7.82999992E+00   1.87600005E+00   7.99999400E-02   1.33333233E+00
   8.07999992E+00   1.91000009E+00   2.15999840E-01   3.59999733E+00
   8.32999992E+00   1.98399997E+00   3.62062868E-01   6.03438114E+00
   8.59000015E+00   2.09599996E+00   4.84416230E-01   8.07360383E+00
   8.84000015E+00   2.23000002E+00   4.67999920E-01   7.79999867E+00
   9.09000015E+00   2.32999992E+00   3.31999780E-01   5.53332967E+00
   9.34000015E+00   2.39599991E+00   1.98690601E-01   3.31151002E+00
   9.60000038E+00   2.42999983E+00   1.04887108E-01   1.74811846E+00
   9.85000038E+00   2.45000005E+00   6.80003182E-02   1.13333864E+00
   1.01000004E+01   2.46399999E+00   3.99999571E-02   6.66665952E-01
   1.03500004E+01   2.47000003E+00   2.35476981E-02   3.92461636E-01
   1.06099997E+01   2.47600007E+00   8.06454173E-02   1.34409029E+00
   1.08599997E+01   2.50999999E+00   2.16000080E-01   3.60000133E+00
   1.11099997E+01   2.58400011E+00   3.71999740E-01   6.19999567E+00
   1.13599997E+01   2.69599986E+00   4.81031070E-01   8.01718450E+00
   1.16199999E+01   2.82999992E+00   4.56560799E-01   7.60934665E+00
   1.18699999E+01   2.92999983E+00   3.31999780E-01   5.53332967E+00
   1.21199999E+01   2.99599981E+00   2.00000280E-01   3.33333800E+00
   1.23699999E+01   3.02999997E+00   1.07040995E-01   1.78401658E+00
   1.26300001E+01   3.04999995E+00   6.62562172E-02   1.10427029E+00
   1.28800001E+01   3.06399989E+00   4.00004400E-02   6.66674000E-01
   1.31300001E+01   3.07000017E+00   2.40001800E-02   4.00003000E-01
   1.33800001E+01   3.07599998E+00   7.63376837E-02   1.27229473E+00
   1.36400003E+01   3.11000013E+00   2.15004566E-01   3.58340943E+00
   1.38900003E+01   3.18400002E+00   3.71999740E-01   6.19999567E+00
   1.41400003E+01   3.29600000E+00   4.91999620E-01   8.19999367E+00
   1.43900003E+01   3.42999983E+00   4.61792178E-01   7.69653630E+00
   1.46499996E+01   3.52999997E+00   3.23126021E-01   5.38543368E+00
   1.48999996E+01   3.59599996E+00   1.99999820E-01   3.33333033E+00
   1.51499996E+01   3.62999988E+00   1.08000280E-01   1.80000467E+00
   1.53999996E+01   3.65000010E+00   6.71797886E-02   1.11966314E+00
   1.56599998E+01   3.66400003E+00   3.86304115E-02   6.43840192E-01
   1.59099998E+01   3.67000008E+00   2.39997000E-02   3.99995000E-01
   1.61599998E+01   3.67599988E+00   7.99994400E-02   1.33332400E+00
   1.64099998E+01   3.70999980E+00   2.08850538E-01   3.48084230E+00
   1.66700001E+01   3.78399992E+00   3.67909594E-01   6.13182657E+00
   1.69200001E+01   3.89599991E+00   4.91999620E-01   8.19999367E+00
   1.71700001E+01   4.02999973E+00   4.68000400E-01   7.80000667E+00
   1.74200001E+01   4.13000011E+00   3.28356646E-01   5.47261077E+00
   1.76800003E+01   4.19600010E+00   1.93767422E-01   3.22945704E+00
   1.79300003E+01   4.23000002E+00   1.07999800E-01   1.79999667E+00
   1.81800003E+01   4.25000000E+00   6.79998400E-02   1.13333067E+00
   1.84300003E+01   4.26399994E+00   3.98611875E-02   6.64353125E-01
   1.86900005E+01   4.26999998E+00   2.35476598E-02   3.92460996E-01
   1.89400005E+01   4.27600002E+00   7.99999200E-02   1.33333200E+00
   1.91900005E+01   4.30999994E+00   2.15999600E-01   3.59999333E+00
   1.94400005E+01   4.38399982E+00   3.62062802E-01   6.03438004E+00
   1.97000008E+01   4.49599981E+00   4.84416669E-01   8.07361115E+00
